GENE_ID,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente,Resistente
ENSG00000000003,1525,1886,964,1827,1734,1161,1640,2323,3664,3672,872,810,1420,1499,3654,1774,918,2589,2632,1074,2497,2732,1847
ENSG00000000005,1,9,0,10,100,16,18,21,23,2,1,0,0,0,1,2,11,7,1,0,0,1,0
ENSG00000000419,816,1493,439,1431,1502,686,1827,1805,1396,2267,703,543,1959,1105,1620,1927,971,1840,2029,1120,1864,1298,974
ENSG00000000457,1166,686,286,509,812,896,951,746,581,1056,231,115,951,491,916,1177,338,802,1231,742,799,654,515
ENSG00000000460,135,217,121,121,302,119,227,341,509,260,104,41,399,218,314,322,123,241,370,150,515,206,153
ENSG00000000938,583,1195,923,1171,2723,1005,1216,1783,676,1306,185,119,380,574,433,471,1410,536,2702,981,358,1315,380
ENSG00000000971,4164,8920,2676,8336,9516,8615,7518,7910,6074,9517,3198,1068,3446,4747,10156,8343,4948,13501,10789,13341,13931,4456,4684
ENSG00000001036,1324,2441,1001,2433,2110,1260,2545,3471,2900,2347,483,1170,1505,2268,1710,2191,1347,2635,5326,2731,2773,2783,1231
ENSG00000001084,839,1261,458,1227,1488,1325,2722,2738,2265,1445,480,325,1642,898,1097,3522,1081,2319,3193,1798,1306,908,968
ENSG00000001167,894,1085,459,916,1556,695,936,1812,1065,1364,358,183,2563,1964,1476,2233,546,1058,2174,816,1758,1251,756
ENSG00000001460,656,618,245,399,536,381,522,1629,666,1225,406,145,385,561,943,1156,411,472,866,447,721,754,302
ENSG00000001461,2274,1681,792,1471,2352,1719,4067,3108,2116,3353,893,567,1499,1799,3087,4880,1074,2291,3622,2267,2037,1948,1262
ENSG00000001497,1343,1799,696,1498,1791,1201,2172,2448,2268,2158,826,807,2055,1564,2186,2321,1145,1466,2503,1386,1546,2178,1259
ENSG00000001561,1017,1321,656,1199,899,1099,1699,3328,1448,1903,329,198,1805,1331,2388,1793,779,1677,4505,1230,1796,1193,767
